cause_of_death,category_human,train_test
acute amoebic dysentery,none,test
acute and fulminating melioidosis,none,train
acute and subacute haemorrhagic leukoencephalitis [hurst],none,test
acute and subacute hepatic failure,none,train
acute and subacute infective endocarditis,none,train
acute and transient psychotic disorder unspecified,none,train
acute appendicitis other and unspecified,none,test
acute appendicitis unspecified - from 2008 classification,none,train
acute appendicitis with generalized peritonitis,none,train
acute appendicitis with generalized peritonitis - 2008 classification,none,test
acute appendicitis with localized peritonitis,none,train
acute appendicitis with peritoneal abscess - 2008 classification,none,train
acute bronchiolitis due to human metapneumovirus,none,train
acute bronchiolitis due to other specified organisms,none,test
acute bronchiolitis due to respiratory syncytial virus,none,train
acute bronchiolitis unspecified,pulmonary disease,train
acute bronchitis due to other specified organisms,none,test
acute bronchitis due to respiratory syncytial virus,none,test
acute bronchitis unspecified,pulmonary disease,train
acute cholecystitis,none,train
acute cystitis,none,test
acute dilatation of stomach,none,train
acute disseminated demyelination unspecified,none,train
acute disseminated encephalitis,none,test
acute drug-induced interstitial lung disorders,none,train
acute endocarditis unspecified,none,test
acute epiglottitis,none,train
acute erythroid leukaemia,none,train
acute gastroenteropathy due to norwalk agent,none,test
acute haematogenous osteomyelitis,none,train
acute haemorrhagic gastritis,none,train
acute hepatitis b without delta-agent and without hepatic coma,none,train
acute hepatitis b without delta-agent with hepatic coma,none,test
acute hepatitis c,none,train
acute hepatitis e,none,test
acute inflammation of orbit,none,test
acute inflammatory disease of uterus,none,train
acute ischaemic heart disease unspecified,ischaemic heart disease,train
acute laryngitis,none,test
acute laryngopharyngitis,none,train
acute laryngotracheitis,none,test
acute leukaemia of unspecified cell type,none,train
acute lymphadenitis of upper limb,none,train
acute lymphoblastic leukaemia [all],none,train
acute mastoiditis,none,train
acute megakaryoblastic leukaemia,none,train
acute meningococcaemia,none,test
acute miliary tuberculosis unspecified,none,train
acute monoblastic/monocytic leukaemia,acute myeloid leukemia,test
acute myeloblastic leukaemia [aml],acute myeloid leukemia,train
acute myelofibrosis - from 2008 classification,none,train
acute myelomonocytic leukaemia,acute myeloid leukemia,test
acute myocardial infarction unspecified,ischaemic heart disease,train
acute myocarditis unspecified,none,train
acute nephritic syndrome diffuse crescentic glomerulonephritis,none,train
acute nephritic syndrome diffuse membranous glomerulonephritis,none,train
acute nephritic syndrome focal and segmental glomerular lesions,none,test
acute nephritic syndrome minor glomerular abnormality,none,train
acute nephritic syndrome other,none,train
acute nephritic syndrome unspecified,none,train
acute nonspecific idiopathic pericarditis,none,train
acute obstructive laryngitis [croup],none,train
acute pancreatitis unspecified,none,train
acute panmyelosis with myelofibrosis,none,train
acute pansinusitis,none,train
acute pericarditis unspecified,none,train
acute periodontitis,none,train
acute peritonitis,none,train
acute pharyngitis due to other specified organisms,none,train
acute pharyngitis unspecified,none,train
acute poliomyelitis unspecified,none,train
acute promyelocytic leukaemia [pml],acute myeloid leukemia,train
acute prostatitis,none,train
acute pulmonary manifestations due to radiation,none,train
acute renal failure unspecified,none,test
acute renal failure with medullary necrosis,none,train
acute renal failure with tubular necrosis,none,test
acute respiratory failure,pulmonary disease,train
acute rheumatic endocarditis,none,train
acute rheumatic heart disease unspecified,none,train
acute rheumatic myocarditis,none,train
acute rheumatic pericarditis,none,train
acute salpingitis and oophoritis,none,test
acute sinusitis unspecified,none,test
acute subendocardial myocardial infarction,ischaemic heart disease,train
acute suppurative otitis media,none,train
acute thyroiditis,none,test
acute tonsillitis due to other specified organisms,none,test
acute tonsillitis unspecified,none,train
acute tracheitis,none,test
acute transmural myocardial infarction of anterior wall,ischaemic heart disease,train
acute transmural myocardial infarction of inferior wall,ischaemic heart disease,train
acute transmural myocardial infarction of other sites,ischaemic heart disease,test
acute transmural myocardial infarction of unspecified site,ischaemic heart disease,train
acute transverse myelitis in demyelinating disease of central nervous system,none,train
acute upper respiratory infection unspecified,none,train
acute vaginitis,none,train
acute vascular disorders of intestine,none,test
acute viral hepatitis unspecified,none,train
acute vulvitis,none,train
addisonian crisis,none,train
adenosine deaminase [ada] deficiency,none,train
adenoviral encephalitis,none,train
adenoviral enteritis,none,train
adenoviral pneumonia,none,train
adenovirus infection unspecified site,none,train
adjustment disorders,none,test
adrenogenital disorder unspecified,none,test
adult hypertrophic pyloric stenosis,none,test
adult osteomalacia unspecified,none,train
adult t-cell lymphoma/leukaemia htlv-1-associated,none,train
adult-onset still disease,none,train
agenesis aplasia and hypoplasia of pancreas,none,train
agenesis of lung,none,train
agents affecting uric acid metabolism,none,train
agoraphobia,none,train
airway disease due to other specific organic dusts,none,train
alcohol-induced acute pancreatitis,none,train
alcohol-induced chronic pancreatitis,none,train
alcoholic cardiomyopathy,none,test
alcoholic cirrhosis of liver,none,train
alcoholic fatty liver,none,train
alcoholic fibrosis and sclerosis of liver,none,train
alcoholic gastritis,none,train
alcoholic hepatic failure,none,train
alcoholic hepatitis,none,test
alcoholic liver disease unspecified,none,train
alcoholic myopathy,none,train
alcoholic polyneuropathy,none,train
algoneurodystrophy,none,train
allergic purpura,none,train
aluminosis of lung,none,test
alveolar and parietoalveolar conditions,pulmonary disease,train
alzheimer disease unspecified,none,test
alzheimer disease with early onset,none,train
alzheimer disease with late onset,none,train
aminoglycosides,none,train
amniotic fluid embolism,none,test
amoebic liver abscess,none,train
amputation of limbs,none,train
amyelia,none,train
amyloidosis unspecified,none,train
anaemia complicating pregnancy childbirth and the puerperium,none,train
anaemia due to enzyme disorder unspecified,none,test
anaemia unspecified,none,test
anaesthetic unspecified,none,train
anal abscess,none,train
anal fissure unspecified,none,train
anal fistula,none,train
anal polyp,none,train
anal prolapse,none,test
analgesic nephropathy,none,train
anankastic personality disorder,none,train
anaplastic large cell lymphoma alk-negative,none,test
anaplastic large cell lymphoma alk-positive,none,test
androgens and anabolic congeners,none,train
anencephaly,none,test
aneurysm and dissection of artery of lower extremity,none,train
aneurysm and dissection of carotid artery,none,test
aneurysm and dissection of iliac artery,none,test
aneurysm and dissection of other precerebral arteries,none,train
aneurysm and dissection of other specified arteries,none,train
aneurysm and dissection of renal artery,none,train
aneurysm and dissection of unspecified site,none,test
aneurysm and dissection of vertebral artery,none,train
aneurysm of heart,ischaemic heart disease,test
aneurysm of pulmonary artery,none,train
aneurysmal bone cyst,none,train
angina pectoris unspecified,ischaemic heart disease,train
angina pectoris with documented spasm,ischaemic heart disease,train
angiodysplasia of colon,none,train
angioimmunoblastic t-cell lymphoma,none,test
angiotensin-converting-enzyme inhibitors,none,train
ankylosing hyperostosis [forestier],none,train
ankylosis of joint,none,train
annular pancreas,none,test
anogenital venereal warts,none,train
anomalous pulmonary venous connection unspecified,none,train
anorectal abscess,none,train
anorectal fistula,none,train
anorexia,none,train
anorexia nervosa,none,train
anoxic brain damage not elsewhere classified,none,test
antepartum haemorrhage unspecified,none,train
anthrax sepsis,none,test
antiallergic and antiemetic drugs,none,train
antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia,none,test
anticoagulant antagonists vitamin k and other coagulants,none,test
anticoagulants,none,train
antimalarials and drugs acting on other blood protozoa,none,train
antineoplastic antimetabolites,none,train
anxiety disorder unspecified,none,train
aortic aneurysm of unspecified site ruptured,none,train
aortic aneurysm of unspecified site without mention of rupture,none,test
aortic arch syndrome [takayasu],none,train
aortic valve disorder unspecified,none,train
aortic valve insufficiency,none,train
aortic valve stenosis,none,train
aortic valve stenosis with insufficiency,none,train
aortopulmonary septal defect,none,train
aplastic anaemia unspecified,none,test
appendicular concretions,none,test
arnold-chiari syndrome,none,test
arterial fibromuscular dysplasia,none,train
arteriovenous fistula acquired,none,train
arteriovenous fistula of pulmonary vessels,none,train
arteriovenous malformation of cerebral vessels,none,train
arteriovenous malformation of precerebral vessels,none,train
arteritis unspecified,none,train
arthritis and polyarthritis due to other specified bacterial agents,none,train
arthritis unspecified,none,test
arthrogryposis multiplex congenita,none,train
arthropathic psoriasis,none,train
arthrosis unspecified,none,train
asperger syndrome,none,train
aspergillosis unspecified,none,train
asphyxia,none,test
aspiration of fluid,none,train
asthma unspecified,pulmonary disease,train
ataxia unspecified,none,train
ataxic gait,none,test
atherosclerosis of aorta,none,train
atherosclerosis of arteries of extremities,none,train
atherosclerosis of other arteries,none,test
atherosclerosis of renal artery,none,train
atherosclerotic cardiovascular disease so described,ischaemic heart disease,train
atherosclerotic heart disease,ischaemic heart disease,test
atopic dermatitis unspecified,none,train
atresia and stenosis of ureter,none,test
atresia of bile ducts,none,test
atresia of foramina of magendie and luschka,none,test
atresia of oesophagus with tracheo-oesophageal fistula,none,test
atresia of oesophagus without fistula,none,test
atresia of pulmonary artery,none,test
atrial fibrillation and atrial flutter unspecified from 2014 onwards,none,train
atrial premature depolarization,none,train
atrial septal defect,none,train
atrioventricular block complete,none,train
atrioventricular block first degree,none,test
atrioventricular block second degree,none,train
atrioventricular septal defect,none,test
atypical virus infection of central nervous system unspecified,none,train
autoimmune hepatitis,none,test
autoimmune polyglandular failure,none,test
autoimmune thyroiditis,none,train
autonomic dysreflexia,none,test
b-cell lymphoma unspecified,none,test
babesiosis,none,train
background retinopathy and retinal vascular changes,none,test
bacterial foodborne intoxication unspecified,none,train
bacterial infection unspecified,none,train
bacterial intestinal infection unspecified,none,test
bacterial meningitis unspecified,none,train
bacterial meningoencephalitis and meningomyelitis not elsewhere classified,none,test
bacterial pneumonia unspecified,none,test
bacterial sepsis of newborn unspecified,none,train
balanced translocation and insertion in normal individual,none,train
balanoposthitis,none,train
balkan nephropathy,none,train
barrett oesophagus,none,train
behcet disease,none,train
bell palsy,none,train
benign intracranial hypertension,none,test
benign lipomatous neoplasm of intra-abdominal organs,none,train
benign lipomatous neoplasm of intrathoracic organs,none,test
benign lipomatous neoplasm of other sites,none,train
benign lipomatous neoplasm of skin and subcutaneous tissue of head face and neck,none,train
benign lipomatous neoplasm unspecified,none,train
benign neoplasm adrenal gland,none,test
benign neoplasm anus and anal canal,none,train
benign neoplasm aortic body and other paraganglia,none,train
benign neoplasm appendix,none,test
benign neoplasm benign neoplasm of unspecified site,none,train
benign neoplasm bladder,none,train
benign neoplasm bone and articular cartilage unspecified,none,test
benign neoplasm bones of skull and face,none,train
benign neoplasm brain infratentorial,none,train
benign neoplasm brain supratentorial,none,train
benign neoplasm brain unspecified,none,train
benign neoplasm bronchus and lung,none,train
benign neoplasm caecum,none,test
benign neoplasm cerebral meninges,none,train
benign neoplasm ciliary body,none,train
benign neoplasm colon unspecified,none,train
benign neoplasm connective and other soft tissue of abdomen,none,train
benign neoplasm connective and other soft tissue of head face and neck,none,train
benign neoplasm connective and other soft tissue of lower limb including hip,none,train
benign neoplasm connective and other soft tissue of pelvis,none,test
benign neoplasm connective and other soft tissue of thorax,none,train
benign neoplasm connective and other soft tissue unspecified,none,train
benign neoplasm cranial nerves,none,train
benign neoplasm duodenum,none,train
benign neoplasm endocrine pancreas,none,train
benign neoplasm extrahepatic bile ducts,none,test
benign neoplasm female genital organ unspecified,none,train
benign neoplasm heart,none,train
benign neoplasm ill-defined sites within the digestive system,none,train
benign neoplasm kidney,none,train
benign neoplasm lacrimal gland and duct,none,test
benign neoplasm larynx,none,train
benign neoplasm liver,none,train
benign neoplasm long bones of lower limb,none,train
benign neoplasm lower jaw bone,none,test
benign neoplasm lymph nodes,none,test
benign neoplasm major salivary gland unspecified,none,train
benign neoplasm mediastinum,none,train
benign neoplasm meninges unspecified,none,train
benign neoplasm middle ear nasal cavity and accessory sinuses,none,train
benign neoplasm nasopharynx,none,test
benign neoplasm oesophagus,none,train
benign neoplasm orbit unspecified,none,train
benign neoplasm other parts of oropharynx,none,train
benign neoplasm other specified endocrine glands,none,train
benign neoplasm other specified intrathoracic organs,none,train
benign neoplasm other specified sites,none,train
benign neoplasm pancreas,none,train
benign neoplasm parathyroid gland,none,train
benign neoplasm parotid gland,none,test
benign neoplasm pelvic bones sacrum and coccyx,none,train
benign neoplasm penis,none,test
benign neoplasm peripheral nerves and autonomic nervous system,none,train
benign neoplasm peritoneum,none,train
benign neoplasm pharynx unspecified,none,train
benign neoplasm pineal gland,none,train
benign neoplasm pituitary gland,none,test
benign neoplasm prostate,none,train
benign neoplasm rectosigmoid junction,none,train
benign neoplasm rectum,none,train
benign neoplasm respiratory system unspecified,none,train
benign neoplasm retroperitoneum,none,train
benign neoplasm sigmoid colon,none,train
benign neoplasm skin of ear and external auricular canal,none,train
benign neoplasm skin of lower limb including hip,none,train
benign neoplasm skin of scalp and neck,none,train
benign neoplasm skin unspecified,none,train
benign neoplasm spinal cord,none,test
benign neoplasm spinal meninges,none,train
benign neoplasm stomach,none,train
benign neoplasm thymus,none,train
benign neoplasm trachea,none,train
benign neoplasm transverse colon,none,train
benign neoplasm vertebral column,none,train
benign neoplasm vulva,none,train
benign paroxysmal vertigo,none,test
berylliosis,none,train
beta thalassaemia,none,train
bifascicular block,none,train
bilateral femoral hernia with obstruction without gangrene,none,train
bilateral inguinal hernia with gangrene,none,test
bilateral inguinal hernia with obstruction without gangrene,none,train
biliary acute pancreatitis,none,train
biliary cirrhosis unspecified,none,test
biliary cyst,none,test
bipolar affective disorder current episode hypomanic,none,train
bipolar affective disorder current episode manic without psychotic symptoms,none,train
bipolar affective disorder unspecified,none,test
bird fancier lung,none,train
birth asphyxia unspecified,none,test
birth injury to spine and spinal cord,none,train
birth injury unspecified,none,test
bladder disorder unspecified,none,train
bladder-neck obstruction,none,train
blastic nk-cell lymphoma,none,train
blind loop syndrome not elsewhere classified,none,train
blindness binocular,none,train
bradycardia unspecified,none,train
bromine compounds,none,train
bronchitis and pneumonitis due to chemicals gases fumes and vapours,none,train
bronchopneumonia unspecified,pulmonary disease,train
bronchopulmonary dysplasia originating in the perinatal period,none,test
brucellosis unspecified,none,test
budd-chiari syndrome,none,train
bulimia nervosa,none,train
bullous disorder unspecified,none,train
bullous erythema multiforme,none,train
bullous pemphigoid,none,test
burkitt lymphoma,none,train
bursitis of shoulder,none,train
bursopathy unspecified,none,test
bus occupant [any] injured in other specified transport accidents,none,test
bus occupant [any] injured in unspecified nontraffic accident,none,train
bus occupant [any] injured in unspecified traffic accident,none,train
bus occupant injured in collision with car pick-up truck or van driver injured in traffic accident,none,train
bus occupant injured in collision with fixed or stationary object driver injured in traffic accident,none,test
bus occupant injured in collision with fixed or stationary object passenger injured in traffic accident,none,test
bus occupant injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none,train
bus occupant injured in collision with heavy transport vehicle or bus passenger injured in traffic accident,none,train
bus occupant injured in collision with heavy transport vehicle or bus person injured while boarding or alighting,none,train
bus occupant injured in collision with two- or three-wheeled motor vehicle person injured while boarding or alighting,none,train
bus occupant injured in noncollision transport accident passenger injured in nontraffic accident,none,train
bus occupant injured in noncollision transport accident passenger injured in traffic accident,none,train
bus occupant injured in noncollision transport accident person injured while boarding or alighting,none,test
bus occupant injured in noncollision transport accident person on outside of vehicle injured in nontraffic accident,none,test
bus occupant injured in noncollision transport accident person on outside of vehicle injured in traffic accident,none,train
bus occupant injured in noncollision transport accident unspecified bus occupant injured in nontraffic accident,none,test
by other specified persons,none,train
by unspecified person,none,train
byssinosis,none,test
calcium-channel blockers,none,test
calculus in bladder,none,train
calculus in urethra,none,train
calculus of bile duct with cholangitis,none,train
calculus of bile duct with cholecystitis,none,train
calculus of bile duct without cholangitis or cholecystitis,none,test
calculus of gallbladder with acute cholecystitis,none,train
calculus of gallbladder with other cholecystitis,none,train
calculus of gallbladder without cholecystitis,none,train
calculus of kidney,none,train
calculus of kidney with calculus of ureter,none,train
calculus of prostate,none,train
calculus of ureter,none,train
campylobacter enteritis,none,train
candidal endocarditis,none,train
candidal meningitis,none,test
candidal sepsis,none,train
candidal stomatitis,none,test
candidiasis of other sites,none,train
candidiasis of other urogenital sites,none,train
candidiasis of vulva and vagina,none,test
candidiasis unspecified,none,test
car occupant [any] injured in other specified transport accidents,none,test
car occupant [any] injured in unspecified nontraffic accident,none,train
car occupant [any] injured in unspecified traffic accident,none,train
car occupant injured in collision with car pick-up truck or van driver injured in nontraffic accident,none,test
car occupant injured in collision with car pick-up truck or van driver injured in traffic accident,none,train
car occupant injured in collision with car pick-up truck or van passenger injured in nontraffic accident,none,train
car occupant injured in collision with car pick-up truck or van passenger injured in traffic accident,none,train
car occupant injured in collision with car pick-up truck or van person injured while boarding or alighting,none,train
car occupant injured in collision with car pick-up truck or van person on outside of vehicle injured in nontraffic accident,none,test
car occupant injured in collision with car pick-up truck or van person on outside of vehicle injured in traffic accident,none,train
car occupant injured in collision with car pick-up truck or van unspecified car occupant injured in nontraffic accident,none,test
car occupant injured in collision with car pick-up truck or van unspecified car occupant injured in traffic accident,none,test
car occupant injured in collision with fixed or stationary object driver injured in nontraffic accident,none,train
car occupant injured in collision with fixed or stationary object driver injured in traffic accident,none,train
car occupant injured in collision with fixed or stationary object passenger injured in traffic accident,none,train
car occupant injured in collision with fixed or stationary object person injured while boarding or alighting,none,train
car occupant injured in collision with fixed or stationary object person on outside of vehicle injured in nontraffic accident,none,train
car occupant injured in collision with fixed or stationary object unspecified car occupant injured in traffic accident,none,train
car occupant injured in collision with heavy transport vehicle or bus driver injured in nontraffic accident,none,train
car occupant injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none,train
car occupant injured in collision with heavy transport vehicle or bus passenger injured in traffic accident,none,train
car occupant injured in collision with heavy transport vehicle or bus person injured while boarding or alighting,none,test
car occupant injured in collision with heavy transport vehicle or bus unspecified car occupant injured in traffic accident,none,test
car occupant injured in collision with other nonmotor vehicle driver injured in traffic accident,none,train
car occupant injured in collision with pedal cycle driver injured in traffic accident,none,train
car occupant injured in collision with pedestrian or animal driver injured in traffic accident,none,train
car occupant injured in collision with pedestrian or animal person injured while boarding or alighting,none,test
car occupant injured in collision with railway train or railway vehicle driver injured in nontraffic accident,none,test
car occupant injured in collision with railway train or railway vehicle driver injured in traffic accident,none,train
car occupant injured in collision with railway train or railway vehicle passenger injured in traffic accident,none,test
car occupant injured in collision with two- or three-wheeled motor vehicle driver injured in traffic accident,none,train
car occupant injured in noncollision transport accident driver injured in nontraffic accident,none,train
car occupant injured in noncollision transport accident driver injured in traffic accident,none,train
car occupant injured in noncollision transport accident passenger injured in nontraffic accident,none,test
car occupant injured in noncollision transport accident passenger injured in traffic accident,none,test
car occupant injured in noncollision transport accident person injured while boarding or alighting,none,train
car occupant injured in noncollision transport accident person on outside of vehicle injured in nontraffic accident,none,train
car occupant injured in noncollision transport accident person on outside of vehicle injured in traffic accident,none,test
car occupant injured in noncollision transport accident unspecified car occupant injured in nontraffic accident,none,train
car occupant injured in noncollision transport accident unspecified car occupant injured in traffic accident,none,train
carbonic-anhydrase inhibitors,none,test
carcinoid syndrome,none,train
carcinoma in situ anus and anal canal,none,train
carcinoma in situ bladder,bladder cancer,train
carcinoma in situ bronchus and lung,lung cancer,test
carcinoma in situ colon,colorectal cancer,test
carcinoma in situ digestive organ unspecified,none,train
carcinoma in situ endometrium,none,train
carcinoma in situ larynx,larynx cancer,train
carcinoma in situ lip oral cavity and pharynx,oral cavity cancer,train
carcinoma in situ liver gallbladder and bile ducts,none,train
carcinoma in situ oesophagus,esophageal cancer,train
carcinoma in situ of breast unspecified,none,train
carcinoma in situ other and unspecified parts of intestine,none,test
carcinoma in situ other and unspecified urinary organs,none,test
carcinoma in situ other specified digestive organs,none,train
carcinoma in situ penis,none,train
carcinoma in situ prostate,prostate cancer,test
carcinoma in situ rectosigmoid junction,colorectal cancer,train
carcinoma in situ rectum,colorectal cancer,train
carcinoma in situ skin of other and unspecified parts of face,none,train
carcinoma in situ skin of scalp and neck,none,test
carcinoma in situ skin unspecified,none,train
carcinoma in situ stomach,stomach cancer,test
carcinoma in situ thyroid and other endocrine glands,none,train
carcinoma in situ unspecified,none,train
cardiac arrest unspecified,none,train
cardiac arrhythmia unspecified,none,test
cardiac catheterization,none,test
cardiac septal defect acquired,none,train
cardiac-stimulant glycosides and drugs of similar action,none,train
cardiogenic shock,none,train
cardiomegaly,none,train
cardiomyopathy due to drugs and other external agents,none,train
cardiomyopathy in the puerperium,none,test
cardiomyopathy unspecified,none,train
cardiovascular disease unspecified,none,test
carotid artery syndrome hemispheric,cerebrovascular disease,train
carpal tunnel syndrome,none,train
cataract unspecified,none,test
catatonic schizophrenia,none,test
cauda equina syndrome,none,train
cefalosporins and other beta-lactam antibiotics,none,test
cellulitis and abscess of mouth,none,train
cellulitis of external ear,none,test
cellulitis of face,none,train
cellulitis of finger and toe,none,train
cellulitis of other parts of limb,none,train
cellulitis of other sites,none,test
cellulitis of trunk,none,test
cellulitis unspecified,none,test
central demyelination of corpus callosum,none,train
central haemorrhagic necrosis of liver,none,train
central nervous system stimulant unspecified,none,train
central pontine myelinolysis,none,train
centrilobular emphysema,pulmonary disease,test
cerebellar ataxia with defective dna repair,none,train
cerebral aneurysm nonruptured,cerebrovascular disease,test
cerebral arteritis not elsewhere classified,cerebrovascular disease,test
cerebral atherosclerosis,cerebrovascular disease,train
cerebral cryptococcosis,none,train
cerebral cysts,none,train
cerebral infarction due to cerebral venous thrombosis nonpyogenic,cerebrovascular disease,train
cerebral infarction due to embolism of cerebral arteries,cerebrovascular disease,train
cerebral infarction due to embolism of precerebral arteries,cerebrovascular disease,test
cerebral infarction due to thrombosis of cerebral arteries,cerebrovascular disease,train
cerebral infarction due to thrombosis of precerebral arteries,cerebrovascular disease,train
cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,cerebrovascular disease,train
cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,cerebrovascular disease,train
cerebral infarction unspecified,cerebrovascular disease,train
cerebral oedema,none,train
cerebral palsy unspecified,none,train
cerebral venous thrombosis in pregnancy,cerebrovascular disease,train
cerebrospinal fluid leak,none,train
cerebrovascular disease unspecified,cerebrovascular disease,train
cervical disc disorder unspecified,none,test
cervical disc disorder with myelopathy,none,train
cervical root disorders not elsewhere classified,none,test
cervicobrachial syndrome,none,train
cervicofacial actinomycosis,none,test
chagas disease chronic with digestive system involvement,none,test
chagas disease chronic with heart involvement,none,train
chagas disease chronic with nervous system involvement,none,train
childhood autism,none,train
cholangitis,none,train
cholecystitis unspecified,none,train
choledochal cyst,none,train
cholesteatoma of external ear,none,train
chondrodysplasia punctata,none,train
chondroectodermal dysplasia,none,train
chromosomal abnormality unspecified,none,train
chronic active hepatitis not elsewhere classified,none,train
chronic adhesive pericarditis,none,train
chronic and other pulmonary manifestations due to radiation,none,train
chronic atrial fibrillation from 2014 onwards,none,train
chronic atrophic gastritis,none,train
chronic cholecystitis,none,train
chronic congestive splenomegaly,none,train
chronic constrictive pericarditis,none,train
chronic disease of tonsils and adenoids unspecified,none,train
chronic eosinophilic leukaemia [hypereosinophilic syndrome],none,train
chronic ethmoidal sinusitis,none,train
chronic frontal sinusitis,none,train
chronic gastritis unspecified,none,test
chronic gingivitis,none,train
chronic hepatic failure,none,test
chronic hepatitis unspecified,none,train
chronic inflammation of lacrimal passages,none,train
chronic inflammatory disease of uterus,none,test
chronic ischaemic heart disease unspecified,ischaemic heart disease,train
chronic kidney disease stage 1,none,test
chronic kidney disease stage 2,none,test
chronic kidney disease stage 3,none,train
chronic kidney disease stage 4,none,train
chronic kidney disease stage 5,none,train
chronic kidney disease unspecified,none,test
chronic laryngitis,none,train
chronic leukaemia of unspecified cell type,none,train
chronic lymphocytic leukaemia of b-cell type,none,test
chronic mastoiditis,none,train
chronic maxillary sinusitis,none,train
chronic meningitis,none,test
chronic multifocal osteomyelitis,none,train
chronic myeloid leukaemia [cml] bcr/abl-positive,none,train
chronic myelomonocytic leukaemia,none,test
chronic myeloproliferative disease,none,train
chronic nephritic syndrome dense deposit disease,none,train
chronic nephritic syndrome diffuse membranous glomerulonephritis,none,train
chronic nephritic syndrome diffuse mesangiocapillary glomerulonephritis,none,train
chronic nephritic syndrome unspecified,none,train
chronic obstructive pulmonary disease unspecified,pulmonary disease,train
chronic obstructive pulmonary disease with acute exacerbation unspecified,pulmonary disease,test
chronic obstructive pulmonary disease with acute lower respiratory infection,pulmonary disease,train
chronic obstructive pyelonephritis,none,test
chronic pansinusitis,none,train
chronic parametritis and pelvic cellulitis,none,train
chronic passive congestion of liver,none,train
chronic prostatitis,none,train
chronic respiratory failure,pulmonary disease,test
chronic rheumatic pericarditis,none,train
chronic salpingitis and oophoritis,none,train
chronic sinusitis unspecified,none,train
chronic sphenoidal sinusitis,none,train
chronic tubulo-interstitial nephritis unspecified,none,train
chronic ulcer of skin not elsewhere classified,none,test
chronic vascular disorders of intestine,none,train
chronic viral hepatitis b with delta-agent,none,train
chronic viral hepatitis b without delta-agent,none,train
chronic viral hepatitis c,none,train
chronic viral hepatitis unspecified,none,train
chylous effusion,none,test
cicatricial pemphigoid,none,train
circumscribed brain atrophy,none,train
cleft palate unspecified,none,train
clonic hemifacial spasm,none,train
coagulation defect unspecified,none,test
coarctation of aorta,none,train
coeliac artery compression syndrome,none,train
coeliac disease,none,test
collapsed vertebra not elsewhere classified,none,train
coma unspecified,none,train
combined disorders of mitral aortic and tricuspid valves,none,train
combined immunodeficiency unspecified,none,train
common arterial trunk,none,train
common variable immunodeficiency unspecified,none,train
common variable immunodeficiency with autoantibodies to b- or t-cells,none,train
communicating hydrocephalus,none,train
complete uterovaginal prolapse,none,test
complication of labour and delivery unspecified,none,test
compression of brain,none,train
